date,temperature,rainfall,population_index,water_demand
2020-01-01,11.713611614217058,0.0,99.44405994097654,423925.50960520137
2020-01-02,11.098201517450489,0.0,99.77068461788039,429745.26493178227
2020-01-03,8.911314951889672,0.0,98.70456940930927,431969.4791023724
2020-01-04,12.794263584710619,0.0,99.66459441358681,412585.88500840624
2020-01-05,8.502720861652271,0.0,99.74949764495459,461295.017654274
2020-01-06,6.987225829292326,1.3284160359352453,99.7267926490426,404501.80936441105
2020-01-07,8.686976438685978,0.0,100.44380773086247,395161.01784854574
2020-01-08,11.173390315882948,0.0,100.14727800768677,440758.4274672187
2020-01-09,7.577044111874056,0.0,99.37004366988403,397895.4440814171
2020-01-10,7.272924174776088,0.0,99.71034588138855,430604.4098814211
2020-01-11,13.820623105308314,0.0,99.9506483935539,452848.906829879
2020-01-12,6.268951963255124,0.0,100.649514262125,443182.3957588527
2020-01-13,13.36630976122467,0.0,100.24589914758667,413020.4811767679
2020-01-14,12.017326095547256,0.0,101.7566546013001,412662.4720338539
2020-01-15,9.811122914424143,0.0,99.36655687876662,443001.4631656956
2020-01-16,13.794195523908654,0.0,99.6867288714565,442267.50128654466
2020-01-17,10.526312261245145,0.0,100.33750842349453,451662.9732570957
2020-01-18,12.015960681582536,0.0,100.77814184063317,477956.1780188251
2020-01-19,10.401148837854185,0.0,100.73450439426968,465825.14903568086
2020-01-20,3.4504566243906734,0.0,100.32953285203963,419080.4840720103
2020-01-21,12.15031169546946,0.0,100.2372672829546,428858.3368227899
2020-01-22,5.841205658024405,0.0,100.1440348856474,477589.5504142109
2020-01-23,11.114946937535384,0.0,100.69075917529726,449156.9983316401
2020-01-24,14.162094663000248,0.0,100.82737870263695,467297.8485754112
2020-01-25,9.246475123625071,0.0,99.6349364631018,457628.75861402415
2020-01-26,12.289150785480018,0.0,100.14020566883357,468403.9028056021
2020-01-27,14.041626228771838,0.0,100.45133676858384,433901.4431186792
2020-01-28,11.03608157890298,0.0,99.96811960671738,445505.7077351654
2020-01-29,15.441273240166792,0.0,99.34818025569436,439452.75284993724
2020-01-30,13.200432107771798,0.0,100.80705032787168,421551.48513098015
2020-01-31,14.387041391209305,0.0,100.27592639766023,458885.5935530092
2020-02-01,13.174162294645,0.0,99.57256115090371,496393.49155432626
2020-02-02,9.843337734880649,0.0,100.55863251050356,513689.205440439
2020-02-03,14.1607012124312,0.0,100.05638099802461,425041.13986353256
2020-02-04,10.340663705467868,0.0,100.62384335008018,436369.82686985494
2020-02-05,16.76138610860835,0.0,100.05760997381115,506490.47998123965
2020-02-06,15.136307426748857,0.0,99.6599242503477,454259.5388325296
2020-02-07,12.716976894366061,1.6073524444627205,100.43742171513183,437023.52142643795
2020-02-08,10.977000748037664,0.0,99.74321229124075,473833.32900555775
2020-02-09,15.779644586224423,0.0,99.76973987529797,496054.307016018
2020-02-10,13.957757252672522,0.0,100.65332545934739,474854.13783112535
2020-02-11,11.041760711784244,0.4955132706521328,100.37476002215375,451434.55805893167
2020-02-12,14.12803387754768,0.0,100.51341459386462,478069.67918913177
2020-02-13,17.057456012388627,0.0,99.65712082360221,418289.4770025003
2020-02-14,14.83144906351349,0.0,99.34458972248663,457861.9792157646
2020-02-15,13.235391156371117,0.0,99.79771259835337,488306.3169903231
2020-02-16,19.304366655992496,0.0,101.44422576871771,559443.2257279413
2020-02-17,18.859363439363786,0.0,99.2425718462246,460488.11239548743
2020-02-18,12.931076226319714,0.0,99.87466924490131,492548.4207122084
2020-02-19,14.062577309776522,0.0,100.7387055677601,490054.0143188582
2020-02-20,16.347550593834214,0.0,99.51176597340228,447377.17940460163
2020-02-21,19.16815422188495,0.0,100.49879719885766,484878.333379658
2020-02-22,12.739759191186838,0.0,99.63485307070817,501101.05880585563
